Status Union Concern,System,Scientific name,Species,Synonyms,Kingdom,Phylum,Organism_Type,Common_Name, N (Total),"N [1971,2010]","N [2010, 2015]",Modelling,LivingLab,LL_Country
Included,Terrestrial,"Wasmannia auropunctata (Roger, 1863)",Wasmannia auropunctata,,Animalia,Arthropoda,Insect,Little fire ant,12860,6149,7414,Yes,No,N/A
Included,Water,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides,,Plantae,Tracheophyta,Aquatic Plant,Alligator weed,37145,15862,23724,No,No,N/A
Included,Water,"Ameiurus melas (Rafinesque, 1820)",Ameiurus melas,,Animalia,Chordata,Fish,Black bullhead,52858,36392,12825,No,No,N/A
Candidate,Water,"Asterias amurensis Lutken, 1871",Asterias amurensis,,Animalia,Echinodermata,Starfish,Northern Pacific seastar,1718,250,1374,No,No,N/A
Included,Water,Cabomba caroliniana Gray,Cabomba caroliniana,,Plantae,Tracheophyta,Aquatic Plant,Carolina fanwort,5955,2477,3763,No,No,N/A
Included,Water,"Channa argus (Cantor, 1842)",Channa argus,,Animalia,Chordata,Fish,Northern snakehead,6425,2844,4265,No,No,N/A
Candidate,Water,"Cherax destructor Clark, 1936",Cherax destructor,,Animalia,Arthropoda,Crustacean,Common yabby,7215,2859,4410,No,No,N/A
Candidate,Water,Cipangopaludina chinensis (Gray 1834),Cipangopaludina chinensis,,Animalia,Mollusca,Freshwater snail,Chinese mystery snail,7757,1294,6550,No,No,N/A
Candidate,Water,Crassula helmsii (Kirk) Cockayne,Crassula helmsii,,Plantae,Tracheophyta,Aquatic Plant,Australian swamp stonecrop,22195,4748,17343,No,No,N/A
Included,Water,Elodea nuttallii (Planch.) St. John,Elodea nuttallii,,Plantae,Tracheophyta,Aquatic Plant,Nuttall's waterweed,102883,66212,38030,No,No,N/A
Included,Water,"Eriocheir sinensis H. Milne Edwards, 1854",Eriocheir sinensis,,Animalia,Arthropoda,Crustacean,Chinese mitten crab,22469,4597,18753,No,No,N/A
Candidate,Water,"Faxonius immunis (Hagen, 1870)",Faxonius immunis,,Animalia,Arthropoda,Crustacean,Calico crayfish,1105,232,438,No,No,N/A
