Status Union Concern,System,Scientific name,Species,Synonyms,Kingdom,Phylum,Organism_Type,Common_Name, N (Total),"N [1971,2010]","N [2010, 2015]",Modelling,LivingLab,LL_Country
Candidate,Terrestrial,"Castor canadensis Kuhl, 1820",Castor canadensis,,Animalia,Chordata,Mammal,North American beaver,80726,3971,75751,Yes,No,N/A
Included,Terrestrial,Celastrus orbiculatus Thunb.,Celastrus orbiculatus,,Plantae,Tracheophyta,Climber/Vine,Oriental bittersweet,35140,5138,30925,Yes,No,N/A
Candidate,Terrestrial,"Cervus nippon Temminck, 1838",Cervus nippon,,Animalia,Chordata,Mammal,Sika deer,12448,4612,8844,Yes,No,N/A
Included,Terrestrial,Cortaderia jubata (Lemoine ex Carrière) Stapf,Cortaderia jubata,,Plantae,Tracheophyta,Grass,Andean pampas grass,10909,9117,3668,Yes,No,N/A
Included,Terrestrial,"Corvus splendens Viellot, 1817",Corvus splendens,,Animalia,Chordata,Bird,House crow,1233783,23175,1213468,Yes,No,N/A
Candidate,Terrestrial,Delairea odorata Lem.,Delairea odorata,,Plantae,Tracheophyta,Climber/Vine,Cape ivy,10011,2593,7293,Yes,No,N/A
Included,Terrestrial,Ehrharta calycina Sm.,Ehrharta calycina,,Plantae,Tracheophyta,Grass,Perennial veldtgrass,11223,6837,3975,Yes,No,N/A
Included,Terrestrial,Gunnera tinctoria (Molina) Mirbel,Gunnera tinctoria,,Plantae,Tracheophyta,Herbaceous Plant,Chilean rhubarb,17354,993,16375,Yes,No,N/A
Included,Terrestrial,Hakea sericea Schrad. & J.C.Wendl.,Hakea sericea,,Plantae,Tracheophyta,Shrub,Silky hakea,10667,4548,5614,Yes,No,N/A
Included,Terrestrial,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum,,Plantae,Tracheophyta,Herbaceous Plant,Giant hogweed,205780,41955,164860,Yes,No,N/A
Included,Terrestrial,Heracleum persicum Fischer,Heracleum persicum,,Plantae,Tracheophyta,Herbaceous Plant,Persian hogweed,4545,693,3881,Yes,No,N/A
Included,Terrestrial,Heracleum sosnowskyi Mandenova,Heracleum sosnowskyi,,Plantae,Tracheophyta,Herbaceous Plant,Sosnowsky's hogweed,28168,719,27562,Yes,No,N/A
Included,Terrestrial,Humulus scandens (Lour.) Merr.,Humulus scandens,,Plantae,Tracheophyta,Climber/Vine,Japanese hop,13812,2878,9885,Yes,No,N/A
Included,Terrestrial,Impatiens glandulifera Royle,Impatiens glandulifera,,Plantae,Tracheophyta,Herbaceous Plant,Himalayan balsam,503292,106659,396981,Yes,No,N/A
Included,Terrestrial,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Koenigia polystachya,,Plantae,Tracheophyta,Herbaceous Plant,Himalayan knotweed,4351,1843,2429,Yes,No,N/A
Included,Terrestrial,"Lampropeltis getula (Linnaeus, 1766)",Lampropeltis getula,,Animalia,Chordata,Reptile,Eastern kingsnake,8053,2635,2217,Yes,No,N/A
Included,Terrestrial,Lespedeza cuneata (Dum.Cours.) G.Don,Lespedeza cuneata,,Plantae,Tracheophyta,Herbaceous Plant,Sericea lespedeza,21404,5956,14441,Yes,No,N/A
